v1	v2	v3	v4	v5
20.75588	18.50980	16.44116	22.39400	20.40639
18.90826	18.30972	27.47242	22.38551	23.18233
22.11826	19.86096	19.81912	21.37008	20.77208
20.61425	21.18741	17.34232	19.52478	24.56211
22.28156	16.51214	20.96689	19.48879	19.32974
16.87878	15.15454	20.34016	22.85196	17.58179
19.45838	17.16113	12.62823	21.22812	23.68249
17.63939	18.38415	23.25018	23.17211	17.52431
18.61389	18.40107	23.07963	24.40388	13.93151
17.60203	17.11510	23.32273	19.28471	17.48237
18.62417	23.98596	23.70181	23.03225	17.04603
24.37018	27.54611	17.59015	13.61878	21.83239
12.75461	12.84050	16.03194	15.76608	18.44076
18.50469	21.33882	17.81817	18.71056	17.78723
21.48577	21.43906	23.66099	23.44212	20.83795
17.42847	19.77627	17.22353	18.33174	19.17419
18.48266	19.51126	22.61254	16.75974	17.64527
17.49435	22.40397	21.91335	17.63954	20.04359
18.76799	19.06677	23.66773	23.33323	22.07850
10.27675	23.83308	23.07692	19.94140	19.61889
22.61550	24.24585	13.53530	20.59443	11.91401
13.13631	23.40015	22.03678	22.02074	18.58569
17.16173	23.60932	23.26879	22.07809	21.06314
20.74019	27.73421	19.06150	23.11536	17.45074
15.13839	19.22044	19.01853	20.72795	21.70427
18.23034	22.49884	18.33066	18.65328	21.09833
19.78465	23.13497	17.76103	20.05493	18.51551
18.37175	16.08492	19.45732	13.37320	20.84301
21.18027	19.75303	19.29784	17.55193	19.30837
19.56427	17.71312	20.02711	16.97845	25.31101
17.55848	19.18144	18.36603	21.93382	22.14988
16.74792	23.26586	20.74578	19.90064	21.15367
19.73450	22.69734	19.47434	19.70339	22.13020
16.25728	19.25637	18.24001	15.43736	16.12320
19.45053	22.21119	15.89407	21.23683	19.29234
18.59074	22.69584	20.41087	19.28513	20.72808
19.45064	21.73862	18.22277	23.07821	22.43197
23.13405	19.28502	20.89289	22.54505	20.49423
18.67705	21.91021	15.58628	16.46015	24.29049
20.55640	21.86414	23.35189	23.25417	22.65698
13.40132	23.61707	17.26578	18.87985	16.84214
22.00035	24.30983	25.07732	21.61592	21.74597
16.91462	19.03950	18.39570	18.52203	18.70717
24.71438	18.98224	18.54369	18.25968	18.62437
18.54960	17.04689	17.40933	16.54062	22.60825
22.01373	21.66278	16.33384	23.12973	20.62212
21.59387	20.88952	20.83040	18.00076	19.26416
23.42708	22.11447	16.63097	22.70382	18.09386
22.54994	20.89779	20.96817	22.23516	23.49394
22.75336	19.49534	19.12409	21.82632	19.14921
21.87377	21.36742	19.78372	23.33839	21.65097
21.69017	24.31101	25.03346	21.16895	17.69858
